pt,elev,nha7,nha8
1,2352,4,4
2,2396,6,6
3,2416,6,6
4,2440,2,2
5,2479,2,2
6,2532,2,2
7,2554,2,2
8,2373,4,4
9,2583,2,2
10,2612,2,2
11,2640,2,2
12,2691,2,2
13,2730,2,2
14,2720,2,2
15,2706,2,2
16,2705,2,2
17,2676,5,5
18,2606,2,2
19,2381,4,4
20,2389,6,6
21,2365,3,8
22,2464,3,3
23,2494,3,8
24,2532,5,5
25,2592,5,5
26,2619,5,5
27,2689,5,5
28,2392,3,8
29,2694,5,5
30,2736,5,5
31,2772,2,2
32,2812,2,2
33,2832,2,2
34,2871,2,2
35,2876,2,2
36,2406,3,8
37,2429,3,3
38,2726,1,1
39,2986,6,6
40,2900,2,2
41,2944,2,2
42,3153,1,1
43,3006,6,6
44,3025,6,6
45,2742,3,8
46,3041,6,6
47,3053,6,6
48,3061,7,7
49,3081,6,6
50,3121,6,6
51,2778,6,6
52,2903,6,6
53,2294,3,8
54,2413,6,6
55,2446,3,8
56,2482,6,6
57,2528,6,6
58,2597,6,6
59,2605,6,6
60,2326,3,8
61,2651,3,8
62,2667,2,2
63,2723,2,2
64,2736,2,2
65,2762,2,2
66,2775,2,2
67,2818,2,2
68,2362,6,6
69,2381,6,6
70,2836,6,6
71,3038,6,6
72,3050,6,6
73,3076,6,6
74,3140,5,5
75,3165,5,5
76,3198,5,5
77,2834,6,6
78,3225,5,5
79,3242,5,5
80,3254,5,5
81,3254,5,5
82,3201,5,5
83,3227,5,5
84,3222,5,5
85,2834,6,6
86,2973,6,6
87,3230,2,2
88,2827,3,8
89,2914,6,6
90,3026,6,6
91,3140,6,6
92,3264,3,8
93,3396,1,1
94,2890,2,2
95,3506,1,1
96,2787,2,2
97,2838,2,2
98,2595,2,2
99,2550,6,6
100,2495,6,6
101,2464,6,6
102,2417,6,6
103,2397,6,6
104,2726,2,2
105,2387,6,6
106,2371,6,6
107,2359,6,6
108,2309,6,6
109,2280,6,6
110,2274,6,6
111,2246,6,6
112,2690,2,2
113,2657,2,2
114,2237,3,3
115,2329,3,8
116,2354,6,6
117,2391,3,8
118,2432,3,8
119,2478,3,8
120,2513,3,8
121,2267,6,6
122,2585,3,8
123,2678,3,8
124,2778,1,1
125,2866,1,1
126,2284,6,6
127,2287,3,8
128,2107,3,3
129,2211,3,8
130,2200,3,8
131,2180,3,8
132,2161,3,8
133,2134,3,8
134,2092,3,8
135,2095,3,8
136,2100,6,6
137,2100,6,6
138,2021,6,6
139,2016,6,6
140,1993,6,6
141,1998,3,3
142,2173,3,8
143,2199,3,8
144,2237,3,3
145,2412,6,6
146,2460,6,6
147,2524,6,6
148,2572,6,6
149,2637,2,2
150,2708,3,8
151,2294,6,6
152,2780,3,8
153,2849,3,8
154,2935,3,8
155,3040,3,8
156,2332,6,6
157,2377,6,6
158,2232,3,3
159,2439,6,6
160,2469,6,6
161,2507,6,6
162,2550,6,6
163,2603,6,6
164,2638,6,6
165,2306,6,6
166,2720,6,6
167,2758,6,6
168,2860,3,8
169,2339,6,6
170,2414,6,6
171,2152,3,3
172,2228,3,8
173,2230,6,6
174,2262,6,6
175,2290,6,6
176,2350,6,6
177,2386,3,8
178,2167,6,6
179,2410,3,8
180,2417,6,6
181,2425,2,2
182,2459,2,2
183,2460,2,2
184,2479,2,2
185,2482,6,6
186,2188,6,6
187,2213,3,8
188,2138,3,3
189,2230,6,6
190,2271,6,6
191,2276,6,6
192,2301,6,6
193,2305,6,6
194,2303,6,6
195,2180,6,6
196,2310,2,2
197,2341,2,2
198,2329,2,2
199,2331,2,2
200,2346,2,2
201,2343,2,2
202,2374,2,2
203,2184,6,6
204,2206,6,6
205,2106,3,3
206,2226,6,6
207,2226,6,6
208,2250,6,6
209,2285,6,6
210,2304,6,6
211,2319,6,6
212,2332,6,6
213,2359,6,6
214,2352,3,8
215,2364,3,8
216,2369,3,8
217,2380,3,8
218,2385,3,8
219,2178,6,6
220,2200,6,6
221,2175,3,3
222,2229,6,6
223,2238,6,6
224,2235,6,6
225,2271,6,6
226,2297,6,6
227,2315,6,6
228,2182,6,6
229,2324,6,6
230,2343,6,6
231,2344,3,8
232,2356,3,8
233,2379,3,8
234,2395,2,2
235,2396,2,2
236,2181,6,6
237,2209,6,6
238,2159,3,3
239,2221,6,6
240,2237,7,7
241,2250,7,7
242,2272,7,7
243,2289,7,7
244,2302,7,7
245,2188,3,8
246,2318,7,7
247,2331,7,7
248,2348,7,7
249,2366,4,4
250,2395,4,4
251,2397,4,4
252,2397,4,4
253,2189,6,6
254,2209,6,6
255,2243,3,3
256,2269,3,8
257,2271,3,8
258,2285,3,8
259,2293,3,8
260,2302,6,6
261,2297,6,6
262,2251,3,8
263,2294,6,6
264,2298,6,6
265,2309,6,6
266,2322,6,6
267,2316,6,6
268,2261,3,8
269,2264,3,8
270,2274,3,8
271,2300,6,6
272,2310,6,6
273,2317,6,6
274,2318,6,6
275,2310,6,6
276,2297,2,2
277,2275,3,8
278,2334,6,6
279,2344,6,6
280,2356,2,2
281,2359,2,2
282,2351,2,2
283,2354,2,2
284,2374,2,2
285,2287,6,6
286,2287,6,6
287,2135,3,3
288,2236,6,6
289,2250,6,6
290,2301,6,6
291,2309,6,6
292,2359,6,6
293,2410,6,6
294,2147,6,6
295,2445,6,6
296,2487,2,2
297,2521,2,2
298,2564,2,2
299,2552,2,2
300,2553,2,2
301,2609,2,2
302,2196,6,6
303,2948,2,2
304,3014,2,2
305,3086,5,5
306,3103,5,5
307,1829,2,2
308,3130,5,5
309,3230,5,5
310,3271,5,5
311,3322,5,5
312,2819,2,2
313,3382,5,5
314,3658,1,1
315,3690,1,1
316,3742,1,1
317,3751,1,1
318,3753,1,1
319,3803,1,1
320,3444,5,5
321,3834,1,1
322,3517,1,1
323,3582,1,1
324,2749,2,2
325,2960,2,2
326,3004,2,2
327,3047,2,2
328,3085,5,5
329,3137,5,5
330,3157,5,5
331,2824,2,2
332,3229,5,5
333,3243,5,5
334,2870,2,2
335,2917,2,2
336,2775,2,2
337,2971,2,2
338,3017,2,2
339,3073,5,5
340,3128,5,5
341,3200,5,5
342,3234,5,5
343,2804,2,2
344,3314,5,5
345,3382,5,5
346,3453,5,5
347,2877,2,2
348,2917,2,2
349,3090,5,5
350,3238,5,5
351,3269,5,5
352,3310,5,5
353,3315,5,5
354,3321,5,5
355,3344,4,4
356,3117,5,5
357,3122,5,5
358,3184,5,5
359,2700,3,3
360,2857,5,5
361,2894,5,5
362,2945,5,5
363,2970,5,5
364,2995,5,5
365,3043,5,5
366,2770,5,5
367,3058,5,5
368,3081,5,5
369,3081,5,5
370,3090,5,5
371,3089,5,5
372,3103,5,5
373,3121,4,4
374,3133,4,4
375,2777,5,5
376,2823,5,5
377,3066,1,1
378,3438,5,5
379,3635,1,1
380,3673,1,1
381,3145,1,1
382,3217,1,1
383,3322,5,5
384,2825,3,3
385,2965,5,5
386,2986,5,5
387,3022,5,5
388,3035,5,5
389,3064,5,5
390,3082,5,5
391,2874,5,5
392,3119,5,5
393,3139,5,5
394,3171,5,5
395,3192,5,5
396,2219,5,5
397,2924,5,5
398,2946,5,5
399,2743,5,5
400,2895,2,2
401,2896,5,5
402,2902,2,2
403,2924,2,2
404,2978,2,2
405,3029,2,2
406,2784,5,5
407,3022,2,2
408,2969,5,5
409,2907,5,5
410,2844,5,5
411,2843,5,5
412,2764,5,5
413,2929,2,2
414,2970,2,2
415,2546,2,2
416,2595,3,3
417,2611,2,2
418,2626,2,2
419,2650,2,2
420,2671,2,2
421,2564,2,2
422,2546,2,2
423,2593,2,2
424,2613,2,2
425,2629,2,2
426,2641,2,2
427,2681,2,2
428,2705,2,2
429,2712,2,2
430,2559,2,2
431,2577,3,3
432,2580,2,2
433,2628,2,2
434,2626,2,2
435,2627,2,2
436,2626,2,2
437,2626,2,2
438,2597,2,2
439,2608,2,2
440,2557,2,2
441,2551,2,2
442,2551,2,2
443,2620,2,2
444,2609,2,2
445,2650,3,3
446,2674,2,2
447,2667,2,2
448,2661,2,2
449,2670,2,2
450,2649,2,2
451,2637,2,2
452,2657,2,2
453,2669,2,2
454,2633,3,8
455,2626,2,2
456,2619,2,2
457,2600,3,8
458,2660,2,2
459,2661,2,2
460,2432,3,8
461,2511,3,8
462,2545,3,8
463,2561,3,8
464,2587,3,8
465,2606,3,8
466,2623,3,8
467,2441,3,8
468,2625,3,8
469,2622,3,8
470,2677,3,8
471,2611,2,2
472,2608,2,2
473,2470,3,8
474,2488,3,8
475,2389,6,6
476,2539,3,3
477,2524,6,6
478,2590,6,6
479,2622,6,6
480,2619,6,6
481,2623,6,6
482,2420,6,6
483,2620,6,6
484,2627,2,2
485,2640,2,2
486,2425,6,6
487,2497,3,3
488,2526,3,3
489,2729,2,2
490,2767,2,2
491,2811,2,2
492,2851,2,2
493,2891,2,2
494,2944,2,2
495,2609,2,2
496,2989,2,2
497,3035,2,2
498,3087,2,2
499,2642,5,5
500,2707,2,2
501,2742,3,3
502,2904,2,2
503,2937,2,2
504,2982,2,2
505,3069,2,2
506,3174,5,5
507,3266,5,5
508,2794,2,2
509,3317,1,1
510,3464,1,1
511,2794,3,8
512,2859,2,2
513,2773,6,6
514,2815,6,6
515,2953,6,6
516,3110,6,6
517,3209,6,6
518,3415,1,1
